287;Lietzow;1;880
288;Wustermark;1;880
289;Börnicke;1;880
290;Perwenitz;1;880
291;Tietzow;1;880
292;Wachow;1;880
293;Tremmen;1;880
294;Wansdorf;1;880
295;Klein Behnitz;1;880
296;Pessin;1;880
297;Paulinenaue;1;880
298;Nauen;1;880
299;Zeestow;1;880
300;Falkenrehde;1;880
301;Berge;1;880
302;Groß Behnitz;1;880
303;Retzow;1;880
304;Etzin;1;880
305;Brädikow;1;880
306;Markee;1;880
307;Selbelang;1;880
308;Kienberg;1;880
309;Bredow;1;880
310;Mühlenberge;1;880
311;Pausin;1;880
312;Ribbeck;1;880
313;Brieselang;1;881
314;Friesack;1;882
315;Vietznitz;1;882
316;Warsow;1;882
317;Mühlenberge;1;882
318;Ketzin;1;883
319;Zachow;1;883
320;Rathenow;1;884
321;Märkisch Luch Möthlow;1;885
322;Bützer;1;885
323;Liepe;1;885
324;Nennhausen;1;885
325;Kotzen;1;885
326;Märkisch Luch Barnewitz;1;885
327;Stechow-Ferchesar;1;885
328;Seeblick;1;885
329;Mützlitz;1;885
330;Großwudicke;1;885
331;Märkisch Luch;1;885
332;Kriele;1;885
333;Zollchow;1;885
334;Gräningen;1;885
335;Vieritz;1;885
336;Märkisch Luch Garlitz;1;885
337;Bamme;1;885
338;Märkisch Luch Buschow;1;885
339;Möthlitz;1;885
340;Landin;1;885
341;Havelaue;1;885
342;Nitzahn;1;885
343;Jerchel;1;885
344;Milow;1;885
345;Premnitz;1;886
346;Döberitz;1;886
347;Gollenberg;1;887
348;Havelaue;1;887
349;Kleßen-Görne;1;887
350;Rhinow;1;887
351;Brandenburg an der Havel;1;888
352;Brandenburg an der Havel;1;889
353;Brandenburg an der Havel;1;890
354;Brandenburg an der Havel;1;891
355;Wust;1;892
356;Götz;1;892
357;Roskow;1;892
358;Schenkenberg;1;892
359;Gollwitz;1;892
360;Päwesin;1;892
361;Kloster Lehnin;1;892
362;Wollin;1;892
363;Trechwitz;1;892
364;Planetal;1;892
365;Jeserig;1;892
366;Beetzseeheide;1;892
367;Golzow;1;892
368;Wenzlow;1;892
369;Beetzsee;1;892
370;Havelsee;1;892
371;Planebruch;1;892
372;Wusterwitz;1;893
373;Bensdorf;1;893
374;Rosenau;1;893
375;Rottstock;1;894
376;Ziesar;1;894
377;Buckautal;1;894
378;Gräben;1;894
379;Kloster Lehnin;1;895
380;Havelsee;1;896
381;Schwanebeck;1;897
382;Hagelberg;1;897
383;Belzig;1;897
384;Planetal;1;897
385;Linthe;1;898
386;Mühlenfließ;1;898
387;Borkheide;1;898
388;Borkwalde;1;898
389;Brück;1;898
390;Planebruch;1;898
391;Niemegk;1;899
392;Mühlenfließ;1;899
393;Rabenstein/Fläming;1;899
394;Wiesenburg;1;900
395;Görzke;1;901
396;Jüterbog;1;902
397;Wahlsdorf;1;902
398;Hohenseefeld;1;902
399;Nuthe-Urstromtal;1;902
400;Niedergörsdorf;1;902
401;Niederer Fläming;1;902
402;Niebendorf-Heinsdorf;1;902
403;Ihlow;1;902
404;Herbersdorf;1;902
405;Treuenbrietzen;1;903
406;Lühsdorf;1;904
407;Luckenwalde;1;904
408;Lüdersdorf;1;904
409;Nuthe-Urstromtal;1;905
410;Schönhagen;1;906
411;Trebbin;1;906
412;Ludwigsfelde;1;907
413;Thyrow;1;907
414;Großbeeren;1;908
415;Frankfurt (Oder);1;909
416;Frankfurt (Oder);1;910
417;Frankfurt (Oder);1;911
418;Jacobsdorf Jacobsdorf;1;912
419;Jacobsdorf Sieversdorf;1;912
420;Jacobsdorf Petersdorf bei Briesen;1;912
421;Jacobsdorf Pillgram;1;912
422;Frankfurt (Oder);1;912
423;Jacobsdorf;1;912
424;Treplin;1;912
425;Groß Lindow;1;913
426;Ziltendorf;1;913
427;Ziltendorf Ernst-Thälmann-Siedlung;1;913
428;Ziltendorf Aurith;1;913
429;Brieskow-Finkenheerd;1;913
430;Wiesenau;1;913
431;Groß Lindow Schlaubehammer;1;913
432;Groß Lindow Weißenspring;1;913
433;Müllrose;1;914
434;Grunow-Dammendorf Grunow;1;914
435;Grunow-Dammendorf;1;914
